colour	showSelectedlegendcolour	showSelected2	x	xend	y	yend
#00BFC4	yes	0	-0.243778376682442	5.11934591033127	0.347242650169887	0.347242650169887
#00BFC4	yes	1	-0.243778376682442	5.11934591033127	0.0509331343121137	5.41405742132583
#F8766D	no	2	-0.243778376682442	5.11934591033127	-0.20633267757101	10.5199158964564
#00BFC4	yes	3	-0.243778376682442	5.11934591033127	-0.49186391083885	15.5975089502023
#F8766D	no	4	-0.243778376682442	4.08846654940907	-0.749450043536372	16.5795296608297
#00BFC4	yes	5	-0.198203254746703	3.27560295990332	-0.78950141242046	16.5795296608297
#F8766D	no	6	-0.162868086286406	2.73197042592195	-0.78950141242046	16.5795296608297
#00BFC4	yes	7	-0.1372442787521	2.34404587456935	-0.78950141242046	16.5795296608297
#00BFC4	yes	8	-0.118526102870661	2.05260278128561	-0.78950141242046	16.5795296608297
#00BFC4	yes	9	-0.104011218205308	1.82588112326693	-0.78950141242046	16.5795296608297
#00BFC4	yes	10	-0.0925717744825634	1.64433133284245	-0.78950141242046	16.5795296608297
#00BFC4	yes	11	-0.0834674679610059	1.49553535687991	-0.78950141242046	16.5795296608297
#F8766D	no	12	-0.0758852733884336	1.37153398271574	-0.78950141242046	16.5795296608297
#00BFC4	yes	13	-0.069465206415895	1.26661410691104	-0.78950141242046	16.5795296608297
#F8766D	no	14	-0.0640512638942781	1.17659381276645	-0.78950141242046	16.5795296608297
#00BFC4	yes	15	-0.0593139585862472	1.09862144629709	-0.78950141242046	16.5795296608297
#F8766D	no	16	-0.0552112118691854	1.03035323020895	-0.78950141242046	16.5795296608297
#00BFC4	yes	17	-0.051581872535424	0.97012583765576	-0.78950141242046	16.5795296608297
#00BFC4	yes	18	-0.0483645469008593	0.916581623835259	-0.78950141242046	16.5795296608297
#00BFC4	yes	19	-0.0455212851094404	0.868638245061619	-0.78950141242046	16.5795296608297
#F8766D	no	20	-0.0429658576866597	0.825485695975847	-0.78950141242046	16.5795296608297
#00BFC4	yes	21	-0.0406504631712902	0.786446254602525	-0.78950141242046	16.5795296608297
#00BFC4	yes	22	-0.0385815146804074	0.750919897740053	-0.78950141242046	16.5795296608297
#00BFC4	yes	23	-0.0367124786057516	0.718462785448602	-0.78950141242046	16.5795296608297
#F8766D	no	24	-0.035009227788081	0.688700400264008	-0.78950141242046	16.5795296608297
#00BFC4	yes	25	-0.0334340996553709	0.661327143274634	-0.78950141242046	16.5795296608297
#00BFC4	yes	26	-0.0319879596294589	0.636051697034008	-0.78950141242046	16.5795296608297
#00BFC4	yes	27	-0.0306537265471476	0.612643720610264	-0.78950141242046	16.5795296608297
#00BFC4	yes	28	-0.0294266341619176	0.590895904168444	-0.78950141242046	16.5795296608297
#F8766D	no	29	-0.0282938170242624	0.57063828894988	-0.78950141242046	16.5795296608297
#00BFC4	yes	30	-0.0272271944488107	0.55174050799286	-0.78950141242046	16.5795296608297
#00BFC4	yes	31	-0.0262589403959899	0.534032384547563	-0.78950141242046	16.5795296608297
#00BFC4	yes	32	-0.0253592251955351	0.517422995843531	-0.78950141242046	16.5795296608297
#00BFC4	yes	33	-0.0245269156441251	0.501807359302848	-0.78950141242046	16.5795296608297
#F8766D	no	34	-0.0237450587115777	0.487108796384014	-0.78950141242046	16.5795296608297
#00BFC4	yes	35	-0.0230064287483614	0.473251601915928	-0.78950141242046	16.5795296608297
#00BFC4	yes	36	-0.0223133621773687	0.46015972319069	-0.78950141242046	16.5795296608297
#00BFC4	yes	37	-0.0216672456882989	0.447766026561705	-0.78950141242046	16.5795296608297
#00BFC4	yes	38	-0.0210558306941421	0.436023934391388	-0.78950141242046	16.5795296608297
#F8766D	no	39	-0.0204855189496184	0.424874252159359	-0.78950141242046	16.5795296608297
#00BFC4	yes	40	-0.0199406203227933	0.41428515650846	-0.78950141242046	16.5795296608297
#F8766D	no	41	-0.0194287985588209	0.404206105666792	-0.78950141242046	16.5795296608297
#00BFC4	yes	42	-0.0189364059688033	0.394611952918104	-0.78950141242046	16.5795296608297
#00BFC4	yes	43	-0.0184717436904572	0.385459211501406	-0.78950141242046	16.5795296608297
#00BFC4	yes	44	-0.018029788547681	0.376720917662549	-0.78950141242046	16.5795296608297
#00BFC4	yes	45	-0.0176118051366492	0.368366663157798	-0.78950141242046	16.5795296608297
#00BFC4	yes	46	-0.017212083615014	0.360375548412163	-0.78950141242046	16.5795296608297
#F8766D	no	47	-0.0168356748555518	0.352718177766791	-0.78950141242046	16.5795296608297
#00BFC4	yes	48	-0.0164748810945922	0.345379932931452	-0.78950141242046	16.5795296608297
#00BFC4	yes	49	-0.0161298127451456	0.338340209157918	-0.78950141242046	16.5795296608297
#00BFC4	yes	50	-0.0158030286953069	0.331577592769696	-0.78950141242046	16.5795296608297
#00BFC4	yes	51	-0.0154891830396649	0.32508005369073	-0.78950141242046	16.5795296608297
#F8766D	no	52	-0.0151889911430626	0.318830837188671	-0.78950141242046	16.5795296608297
#00BFC4	yes	53	-0.0148997203125053	0.312817847107308	-0.78950141242046	16.5795296608297
#00BFC4	yes	54	-0.014622154907646	0.30702656867106	-0.78950141242046	16.5795296608297
#00BFC4	yes	55	-0.0143554336998083	0.301445131268376	-0.78950141242046	16.5795296608297
#00BFC4	yes	56	-0.0140987009571367	0.296062568208044	-0.78950141242046	16.5795296608297
#00BFC4	yes	57	-0.013850996278272	0.290868847112081	-0.78950141242046	16.5795296608297
#00BFC4	yes	58	-0.0136120933175941	0.285853959669477	-0.78950141242046	16.5795296608297
